Word,Number Of Occurences,Number Of Steps
decemberbrown,1,1
plane,1,1
converging,1,1
still,1,1
blue,2,2
of,10,10
wing,1,1
flashes,1,1
had,1,1
on,1,2
icedover,1,1
country,1,1
electric,1,1
lakes,1,1
down,1,1
ice,1,1
glided,1,1
rinks,1,1
river,1,1
a,6,6
knew,1,2
long,3,3
its,1,1
some,2,4
specks,1,1
airportstreetlights,1,1
as,2,2
at,2,2
streaked,1,1
runway,1,1
already,1,2
airplane,1,1
monitors,1,1
perspective,1,1
time,1,1
bring,1,1
lights,2,2
clearer,1,1
pure,1,1
all,1,1
hed,1,1
so,1,1
would,1,1
headlights,1,1
scrolling,1,1
tears,1,2
stacks,1,1
enough,1,1
to,2,2
felt,1,2
bob,1,1
woke,1,1
galaxy,1,1
truck,1,1
and,4,4
valleys,1,1
with,2,2
snow,2,2
cumulus,1,1
vast,1,2
neighborhoods,1,1
like,1,1
stoplight,1,1
hunters,1,1
roselit,1,1
atop,1,2
braids,1,1
gleaming,1,1
now,1,1
through,1,1
warehouse,1,1
buildings,1,1
antennae,1,1
lost,1,1
beautiful,1,1
faraway,1,1
below,1,1
looked,1,1
the,15,15
stricken,1,2
walked,1,1
his,1,1
he,5,5
were,1,2
snowedin,1,1
outside,1,1
lov,1,1
vision,1,1
if,2,2
winking,1,1
barns,1,1
deepened,1,2
in,1,1
it,3,3
scraps,1,1
black,1,1
coming,1,2
ascending,1,1
something,1,1
bottom,1,1
looking,1,1
finally,1,1
deep,1,1
parallels,1,2
turning,1,1
eyes,1,1
banks,1,1
first,1,1
chicago,1,1
over,1,1
they,1,1
houses,1,1
sky,1,2
descended,1,3
dark,1,1
hoursold,1,1
canyon,1,1
toward,1,1
montana,1,1
into,1,2
was,2,2
above,1,1
hills,2,2
past,1,2
airport,1,1
Word Total,Num Occurrences,Num Steps,Average Steps Per Word
125,=SUM(B2:B126),=SUM(C2:C126),=C128/B128